name,coordinate
e3d5c101-6bb9-48af-ac80-08c73304456b.jpg,173_179_162_180_1;508_197_157_194_1
e3d5d8a4-9622-45fd-ac07-4e0fdc0ba97b.jpg,341_21_83_66_1;528_29_107_83_1;387_76_108_114_1;191_187_134_134_1;8_416_255_77_1;454_262_181_178_1;275_1_59_33_1
e3d6518e-b0f5-4b4f-bacd-6ee405424ca0.jpg,449_168_113_101_1;575_148_130_168_1;339_270_187_204_1;619_468_190_32_1
e3d65c80-cdc3-4097-a0ad-374cd2a45107.jpg,442_0_85_42_1;302_0_71_57_1;205_24_106_112_1;396_65_125_123_1;6_137_133_225_1;195_254_212_171_1;978_26_89_76_1
e3d6a72f-a64a-416f-a453-94ea81814ccf.jpg,33_10_85_64_1;1_30_79_111_1;193_26_118_74_1;887_0_171_174_1;761_155_305_218_1;835_0_53_44_1
a6f649c5-3f2b-494f-ac7a-d8cb769e8747.jpg,7_2_52_34_1;463_0_75_40_1;590_27_115_108_1;485_134_139_165_1;217_56_176_196_1
a6f6bf8c-cf39-4908-9dac-452207dfc25e.jpg,402_207_169_197_1;11_280_236_204_1;271_0_94_70_1;58_1_87_38_1;452_0_88_47_1
a6f98b70-64be-4835-b4bb-c11dcad3950a.jpg,196_0_77_45_1;338_136_125_133_1;578_350_217_150_1;1046_23_22_39_1;1044_73_23_45_1;1052_95_12_40_1
a6f9ce73-f52a-425d-a5bc-4af8980d7037.jpg,98_20_70_33_1;189_50_97_85_1;364_13_123_141_1;586_38_101_63_1;410_329_153_168_1;689_154_88_95_1;644_348_230_150_1;189_0_44_16_1
a6f9db85-46d3-41c4-bb2d-8a5f0c9afbe4.jpg,42_0_50_25_1;105_0_77_20_1;0_2_68_157_1;229_97_104_93_1;3_192_67_203_1;127_235_188_214_1;1028_0_37_11_1
a6fa7f3d-697a-4292-b42a-3936f19de906.jpg,895_65_135_92_1;58_116_150_121_1;571_190_149_183_1;896_329_173_171_1;528_1_62_32_1;1006_5_62_77_1
a6fb5706-db1b-4ea7-920f-dfd0657660ee.jpg,966_57_103_57_1;372_3_118_26_1;528_4_78_67_1;699_39_137_70_1;402_81_120_106_1;646_133_112_119_1;899_427_154_75_1;613_298_207_199_1;97_18_82_48_1;186_0_51_23_1;250_429_231_71_1
a6fcaaac-75fe-487e-acc6-dde7b23a952a.jpg,98_0_51_35_1;226_0_43_26_1;407_0_96_14_1;12_0_102_69_1;169_0_80_62_1;661_1_104_56_1;604_134_138_158_1;890_188_160_144_1;465_415_231_85_1;938_430_128_69_1;174_235_187_178_1
a6fe4eff-42db-43d8-857a-a9258c4b15f4.jpg,425_155_216_209_1;155_100_182_164_1
59b6ca68-92c6-48ec-94ff-48e38a76cee8.jpg,76_0_103_12_1;266_0_121_51_1;579_61_131_77_1;0_75_105_92_1;249_135_123_140_1;391_235_146_152_1;0_307_71_185_1;0_139_67_83_1
59b85cde-7997-44d2-8983-ef3e01e39cfc.jpg,15_0_42_25_1;77_7_78_40_1;181_1_97_36_1;737_16_133_57_1;802_1_133_55_1;618_35_148_83_1;850_75_152_72_1;130_88_90_72_1;335_93_116_120_1;21_137_189_203_1;510_0_51_24_1;573_0_69_24_1;897_460_172_40_1
59b9776b-a07a-4440-b110-bfe15c468f66.jpg,572_0_155_57_1;890_0_153_57_1;176_258_218_191_1;1026_0_39_19_1
59b9fffc-7812-4815-b628-023e352875da.jpg,320_0_61_10_1;111_0_106_75_1;164_20_106_95_1;0_68_40_107_1;62_110_166_114_1;208_257_176_183_1
59ba94ae-ab45-46e6-a052-24b49f7b82fb.jpg,682_111_152_121_1;297_429_207_61_1;691_226_178_197_1;337_203_215_205_1;472_1_68_20_1
59bac9a9-bda4-434c-98ef-e99652534897.jpg,100_12_61_38_1;5_31_68_78_1;70_83_89_71_1;0_199_133_134_1;216_277_177_172_1;157_0_44_8_1;317_0_43_16_1
59bace0e-b55a-403d-95a5-06809386f599.jpg,164_206_216_194_1;453_192_191_186_1;216_40_175_128_1
59bafba4-1f99-42ff-9641-9e2dea6750c7.jpg,909_17_149_63_1;67_34_110_88_1;264_32_85_88_1;0_140_100_165_1;153_267_201_202_1
59bb23e8-c3a5-4e99-99bf-4315f16d1283.jpg,205_2_106_63_1;439_0_118_55_1;561_30_110_112_1;144_225_221_187_1;446_215_179_170_1;615_1_72_14_1
59bbdaea-3742-432e-a73f-1eafec41b65d.jpg,395_0_94_43_1;453_71_96_102_1;650_74_132_69_1;634_172_141_129_1;179_373_221_124_1
59be2bb5-cb31-40fe-bc20-317340da26ed.jpg,364_0_48_23_1;585_3_60_45_1;118_9_86_64_1;141_27_82_60_1;289_31_84_74_1;466_37_78_65_1;598_44_78_68_1;452_108_90_87_1;666_118_122_96_1;419_302_176_175_1;778_288_206_166_1;66_0_83_63_1;470_3_70_38_1
